ModelName,Expected Posterior Probability,ExceedanceProbability,ProtectedExceedanceProbability,EstimatedModelFrequency,EstimatedModelFrequencyVariance
RL_ddm_DRMlinear,0.0869511409300323,0.000257,0.00221908224773034,0.0606911729733705,0.00228031017985948
AI_ddm0_DRMlinear,0.573510441221595,0.982078,0.974395621342723,0.698783413738476,0.00841940617689912
AI_ddm1_DRMlinear,0.229786594822014,0.017547,0.0193392419926863,0.223658878075127,0.00694542337333209
AI_ddm2_DRMlinear,0.0375013829934882,1.5e-05,0.00197945942191893,0.00835590728511759,0.000331443443942404
AI_ddm3_DRMlinear,0.0722504400328699,0.000103,0.00206659499494126,0.00851062792790928,0.000337527885607279
