ParticipantID,NLL,Recovered_lr,Synthetic_lr,Recovered_vunsamp,Synthetic_vunsamp,Recovered_vps,Synthetic_vps,Recovered_lam,Synthetic_lam,Recovered_kappa_a,Synthetic_kappa_a,Recovered_prior_r,Synthetic_prior_r,Recovered_a_bs,Synthetic_a_bs,Recovered_ndt,Synthetic_ndt,Recovered_v_max_stage_0,Synthetic_v_max_stage_0,Recovered_v_max_stage_1,Synthetic_v_max_stage_1,Recovered_v_mod,Synthetic_v_mod
1,-0.8206154490747455,0.6327181275079641,0.8063865376326844,0.2873641596291038,0.2947716502634602,0.6540420219995744,0.6686291253507274,4.597527901554138,3.4092024913234207,0.31408649659961846,0.2380546435327751,0.31045199617678465,0.293814157205751,1.0312664838359917,1.0172999807403231,0.5005378246707006,0.4951123625611782,6.279436515283867,6.351249610913382,8.926967427108087,8.80219977218583,0.753596403064543,0.9025365564222452
2,0.3180931747608434,1.616385341754563,1.22864307394038,0.7008525235573378,0.6780420658130272,0.28976167631356176,0.2541852275030753,1.9239665149665546,3.685768697652759,0.8708041904466951,1.463632810465651,0.3916487396433822,0.4482144417194609,1.1456239780561581,1.094448073973008,0.31531581685552645,0.318986006470189,1.2674675465819156,1.2191981389008766,8.041417121056703,9.630182395955346,1.0,0.5039830093987828
3,1.5966995550612217,4.0,3.692402730354656,0.5331800339254223,0.671544126696079,0.9,0.4119347589123773,7.728636002624833,7.546222253081317,5.0,3.140115393034629,0.21814850308778105,0.3822550604911212,2.2772157942182636,2.2301394596291058,0.7207050892172376,0.7123121956474292,5.641520192082807,3.0531353144830677,1.0104269318224979,0.1252283688647326,0.008689468619197829,0.2682628291359363
4,0.176671666268356,2.6951499873219102,3.1869819023603365,0.8255659600133639,0.8369937800671512,0.5388152456545858,0.5627980394129296,1.386431695564956,1.3280748458041105,4.0416470322891636,3.7878517962371054,0.5936004194077877,0.5161432076284065,3.02931640402661,3.089315564998488,0.8738828625031477,0.8586117030700126,9.621290702886803,9.475415511018245,6.19753699409239,6.545375346228315,1.0,0.8542582098426466
5,-1.3848819670866543,4.0,2.970352230786187,0.48089395174152677,0.6543910695633092,0.7270546438010694,0.7729116806402683,4.580420372168325,9.230030407536653,5.0,4.510380007624223,0.37875508971077104,0.4374501569391084,0.576648559424203,0.6108787352552832,0.8334348209967912,0.8295737184581491,5.135902811105153,5.389315533076343,5.809771249068578,5.42076154739123,0.3063906682555869,0.8251753305664196
6,0.2875585654741225,0.08354560341307538,0.1279367375030955,0.6971755960680617,0.7901643768526411,0.04135780571763202,0.0311706012039482,5.703557431830775,6.931945583783881,1.4340306507823577,2.9374223967520456,0.5947934004961765,0.5850495085001581,1.7196585344298003,1.684096694631548,0.27559810537017515,0.2754620266501041,5.688491590612052,5.094085814387624,10.0,8.858231171497215,0.856504444732602,0.5652896703655683
7,1.5193221835459874,1.8934401224502164,2.652595565857267,0.34958631147148955,0.3972413078581507,0.9,0.874925178409307,3.4950902831375297,7.425224523517098,1.2031672972379979,1.774512554253867,0.5564366320222643,0.5921186195981958,2.1787814881092875,2.3076807239253654,0.9237715807732085,0.884056212378686,2.8686759717665735,2.750540510654117,1.0979569430399192,1.0806748517233733,0.3656011047821439,0.1912720517411701
8,-0.6533638685103346,1.8677864781129747,1.5481849304203434,0.82084695867289,0.7686538154408831,0.6931008870472128,0.2437604224523249,0.6149086420340446,6.263588032086837,1.1682092666210928,3.1177590052277915,0.2,0.4448282812087573,0.5138982787131531,0.4862399797399714,0.7440675849865519,0.7448338730324927,3.005154342345221,2.957255344238812,6.28931607054797,3.984581965490401,1.0,0.3772395675305094
9,0.5390185240197661,4.0,2.6544105266843743,0.07567895582735017,0.0776999581336476,0.4344587881030309,0.494900928424783,0.15621172242214262,0.1542182234325584,2.727899024980939,4.915194917697084,0.5917235664882537,0.5590563334328089,1.80525154482459,1.7212226435860387,0.1471436456613077,0.1467479307274827,7.25087370786554,6.968783264368051,9.999923190683502,9.058084167065523,0.29549732349777447,0.3181087523446168
10,-1.3327040421064722,2.1175840410802422,3.065968578624919,0.2209674804672548,0.2587482918370689,0.8672496751732819,0.861502808136954,5.087672894983948,7.023157547948075,2.738199286736857,3.125077965966605,0.8,0.7584408398900888,1.305367445382577,1.2954568328320986,0.9251091124445685,0.9236157463407608,6.8913992019642185,6.780829341239825,7.639852135854476,7.7136250720146196,1.0,0.5716353364349513
