ParticipantID,NLL,Recovered_lr,Synthetic_lr,Recovered_vunsamp,Synthetic_vunsamp,Recovered_vsamp,Synthetic_vsamp,Recovered_vps,Synthetic_vps,Recovered_lam,Synthetic_lam,Recovered_kappa_a,Synthetic_kappa_a,Recovered_prior_r,Synthetic_prior_r,Recovered_a_bs,Synthetic_a_bs,Recovered_ndt,Synthetic_ndt,Recovered_v_max_stage_0,Synthetic_v_max_stage_0,Recovered_v_max_stage_1,Synthetic_v_max_stage_1,Recovered_v_mod,Synthetic_v_mod
1,1.3359479927202018,1.1189797414973301,0.8063865376326844,0.34724941315006186,0.2947716502634602,0.7113589085899089,0.6686291253507274,0.23403499629564004,0.3068282242191079,0.06342511324725716,0.4761092870655503,0.26190055220367103,0.7817846433812581,0.2,0.3163189157957281,2.2149492912368167,2.131915741476359,0.6411968866242518,0.6351249610913382,10.0,8.80219977218583,9.026617284065786,9.02536556422245,0.8508878740816919,0.307160768485095
2,-1.40904565813326,2.8679194600399267,3.013520292502343,0.23696613109712356,0.2541852275030753,0.38713446468541096,0.3317191827887483,0.2005024515531937,0.2634539058838172,3.863232171478734,4.136907361991014,0.9969741246696975,1.073578478341903,0.3967649904150396,0.3913916038821134,0.7926500894919377,0.7511033113933243,0.9592774973283692,0.9630182395955346,5.338053869913852,5.039830093987828,9.108285965089317,9.231006825886638,0.9631203033291806,0.7461601407734211
3,-2.2168756661781246,4.0,1.8308211507216767,0.8336517645503384,0.6791600027773186,0.5339715888170797,0.5652207707462333,0.18332557956000792,0.2733825907366818,8.662210754131118,5.216593134132719,2.599650484642046,3.561560978237146,0.34530392463731846,0.3831881188689841,0.39468062212509697,0.346334496479951,0.2656698672776326,0.2682628291359363,8.26737640227818,7.9674547559008415,9.110327525081049,9.299930889635013,0.6785386688713118,0.6253311549032551
4,-0.5847586872158141,0.4373343973606091,0.5312299383216441,0.7039075977056523,0.6818133233226791,0.27806646637894056,0.4742148114426096,0.7259995353662356,0.6784821644590917,10.0,8.586117030700125,2.248628951401493,4.737707755509121,0.557914023634373,0.592722520773699,3.339946460809401,3.4607553764177923,0.7528435533719791,0.7425880576965468,7.354035919371038,7.271011884036769,8.368518444266261,8.587907562669647,1.0,0.9230030407536652
5,-0.9930551491173606,1.0486525111703235,3.6083040060993774,0.14286593676013742,0.3561752354086626,0.20614807915217073,0.0756191518188526,0.7375807667118597,0.7466163466123342,2.260189901082739,5.389315533076343,5.0,2.710380773695615,0.7640091161041047,0.6951051983398518,0.4376510745897811,0.4183414821903634,0.8789274045803763,0.8779604187251567,0.330359148199141,0.3463400133772032,7.900871733579878,6.931945583783881,1.0,0.5874844793504092
6,-0.6674808568057033,4.0,2.5669967233343867,0.44687018625309655,0.3366721689644305,0.0,0.2479158239850937,0.5629884868561511,0.4584677232948861,10.0,8.858231171497215,2.967586139636243,2.8264483518278416,0.4682783135832506,0.5978893348785901,1.8507499883006737,1.9331031545279531,0.9742641600561796,0.972139087121452,7.194208590420608,7.425224523517098,3.2224703053079073,3.549025108507734,1.0,0.6535310326636594
7,1.6975056851656,4.0,2.170465647486881,0.7435455544758999,0.7956505911408175,0.7391092069058846,0.2475486459588705,0.7763622597399008,0.0972607366551036,3.6557213655601735,1.9127205174117008,2.3027899375547602,1.9352311630254293,0.8,0.7124358769605887,1.398635267933293,1.3021261811928917,0.5887636828390226,0.6263588032086836,1.1383112176392935,6.235518010455583,0.2911203677010917,4.080471353479287,1.0,0.0503351296594517
8,-0.7705729357938725,2.4097574054724213,2.979335492129971,0.31975623156843386,0.266152980981493,0.6136590535666202,0.3586123768941361,0.0,0.3395156107774585,0.5805499509361816,6.636026316710936,0.005954304064828719,0.4316664340758203,0.3508868396863389,0.5299339522831887,0.3760380911541218,0.3570607426700466,0.9834100842579125,0.9830389835394168,10.0,5.984272223880148,5.773990794232974,3.8411422799622654,1.0,0.1467479307274827
9,0.23537122691577353,2.0023543251783336,2.787513305747221,0.8269325785274004,0.8152275750358972,0.32246408879042787,0.2862978771101551,0.9,0.6898429301906067,3.6000438788221167,2.8749810204118766,4.494845188188308,4.786126711871967,0.7124689755210093,0.6213894528768846,2.7011942987943653,2.612557694815288,0.9250866872763543,0.9307347331501478,2.840720571482508,2.6904238725191854,8.72450618614106,9.236157463407608,1.0,0.6780829341239825
10,2.0846170763246947,0.104736461301939,3.085450028805848,0.03685887099685728,0.5144718027914562,0.09014203214776084,0.7505142097493099,0.9,0.6284536193626764,1.2900430367596207,1.46608701776909,1.5667445752576465,3.0623056431403746,0.6468074353142633,0.3675922013697991,3.5476428802426425,3.6887512753490106,0.25363074672899544,0.1982322902101537,2.9617997104940845,2.8571649537130286,0.3394474672677268,0.4765470496967894,1.0,0.4475791440506381
