ParticipantID,NLL,Recovered_lr,Synthetic_lr,Recovered_vsamp,Synthetic_vsamp,Recovered_vps,Synthetic_vps,Recovered_lam,Synthetic_lam,Recovered_kappa_a,Synthetic_kappa_a,Recovered_prior_r,Synthetic_prior_r,Recovered_a_bs,Synthetic_a_bs,Recovered_ndt,Synthetic_ndt,Recovered_v_max_stage_0,Synthetic_v_max_stage_0,Recovered_v_max_stage_1,Synthetic_v_max_stage_1,Recovered_v_mod,Synthetic_v_mod
1,-1.143413807106786,0.8395439531289193,0.8063865376326844,0.34787582061584393,0.2947716502634602,0.6393182520488715,0.6686291253507274,9.999476582752132,3.4092024913234207,0.5883788384964506,0.2380546435327751,0.3021982464333597,0.293814157205751,1.060802631390616,1.0172999807403231,0.4962563267372206,0.4951123625611782,6.40257916966204,6.351249610913382,9.122200878010556,8.80219977218583,0.36935699199246674,0.9025365564222452
2,0.013815027439812834,1.733970924481485,1.22864307394038,0.6598210907326288,0.6780420658130272,0.21524480196962373,0.2541852275030753,10.0,3.685768697652759,2.353788870554369,1.463632810465651,0.8,0.4482144417194609,1.1515504959770264,1.094448073973008,0.3183501285692397,0.318986006470189,1.0867112468878306,1.2191981389008766,9.511167936396555,9.630182395955346,0.28121511763368834,0.5039830093987828
3,1.6615414935426538,0.022627327321814328,3.692402730354656,0.30996224957340934,0.671544126696079,0.8019428712375353,0.4119347589123773,9.999999998711372,7.546222253081317,2.051600821356731,3.140115393034629,0.20161358234504068,0.3822550604911212,2.3467463284080785,2.2301394596291058,0.6883387382274211,0.7123121956474292,3.046794184904774,3.0531353144830677,0.16990477399770645,0.1252283688647326,1.0,0.2682628291359363
4,-0.6398801356684473,3.1764487002218105,3.1869819023603365,0.836651197283847,0.8369937800671512,0.6160190660098592,0.5627980394129296,1.2344251825441752,1.3280748458041105,4.999999584692436,3.7878517962371054,0.49031680456788374,0.5161432076284065,3.304417076800689,3.089315564998488,0.8402100321465601,0.8586117030700126,9.692244445080853,9.475415511018245,6.795239154380804,6.545375346228315,0.8980709625022016,0.8542582098426466
5,-1.456359400158812,4.0,2.970352230786187,0.8638547362212798,0.6543910695633092,0.7956220796503295,0.7729116806402683,10.0,9.230030407536653,3.944843452633571,4.510380007624223,0.7945951924337739,0.4374501569391084,0.8059958834064932,0.6108787352552832,0.8137498929188762,0.8295737184581491,6.008143062699462,5.389315533076343,6.379118620907342,5.42076154739123,1.0,0.8251753305664196
6,-0.08567021197777432,1.074243479497332,0.1279367375030955,0.7504305081670049,0.7901643768526411,0.1582021906087019,0.0311706012039482,0.5123131559971644,6.931945583783881,3.3108934703261053,2.9374223967520456,0.5189529715528088,0.5850495085001581,1.71108266485678,1.684096694631548,0.27804185620157995,0.2754620266501041,4.925351722044883,5.094085814387624,10.0,8.858231171497215,1.0,0.5652896703655683
7,1.3113055930841415,3.1588103284944977,2.652595565857267,0.4255738402391586,0.3972413078581507,0.8686047799000433,0.874925178409307,7.2358212800004456,7.425224523517098,1.6371396828031097,1.774512554253867,0.6792154121006545,0.5921186195981958,2.1574115571959074,2.3076807239253654,0.9460333540729794,0.884056212378686,2.5856519906562903,2.750540510654117,1.0536505609913354,1.0806748517233733,0.24531546412221827,0.1912720517411701
8,-0.7352682829999404,2.705551982475351,1.5481849304203434,0.8580089490271956,0.7686538154408831,0.05734367225168893,0.2437604224523249,4.284831736653191,6.263588032086837,1.8613537032093816,3.1177590052277915,0.8,0.4448282812087573,0.5328823414972473,0.4862399797399714,0.7424503136788305,0.7448338730324927,2.903463406634857,2.957255344238812,3.727318888870821,3.984581965490401,0.9945630385285116,0.3772395675305094
9,0.19891388286570758,2.106143514403271,2.6544105266843743,0.060085136407662686,0.0776999581336476,0.45204546194820666,0.494900928424783,0.11399451348760704,0.1542182234325584,1.1394949516665827,4.915194917697084,0.8,0.5590563334328089,1.7078735975832902,1.7212226435860387,0.15498868370311447,0.1467479307274827,10.0,6.968783264368051,7.344980770332353,9.058084167065523,0.622224098221465,0.3181087523446168
10,-1.3786556475255787,4.0,3.065968578624919,0.7547118377066334,0.2587482918370689,0.543785913153318,0.861502808136954,10.0,7.023157547948075,5.0,3.125077965966605,0.5050081848552276,0.7584408398900888,1.2322299424312595,1.2954568328320986,0.9276089022788151,0.9236157463407608,6.8101571485187105,6.780829341239825,7.833252911269656,7.7136250720146196,1.0,0.5716353364349513
