ParticipantID,NLL,Recovered_lr1,Synthetic_lr1,Recovered_lr2,Synthetic_lr2,Recovered_lam,Synthetic_lam,Recovered_w,Synthetic_w,Recovered_p,Synthetic_p,Recovered_a_bs,Synthetic_a_bs,Recovered_ndt,Synthetic_ndt,Recovered_v_max_stage_0,Synthetic_v_max_stage_0,Recovered_v_max_stage_1,Synthetic_v_max_stage_1,Recovered_v_mod,Synthetic_v_mod
1,2.8745476067601508,1.0,0.5994727712549318,0.3517881404342359,0.4160406595330115,1.0,0.5990129276754871,0.9622308305252755,0.9805023778454248,0.05430759376813755,0.0962843458105759,2.073011767656289,2.0879021012743038,0.7298310047649912,0.6135479631048052,5.47084039619193,6.881542880867826,8.023206447522556,7.263686292267282,0.17431993524986317,0.1766732002992882
2,3.0245609604536985,1.0,0.2020000425288538,0.11940570302265317,0.1244342274712426,0.0,0.8564204737774798,0.7458260545113278,0.892809417605883,-0.3027092387951948,-0.7133583310580949,2.345278047518894,2.2813421122471262,0.4408192786057032,0.4731223514923407,5.726174291816224,1.940118096913556,4.614664114192453,3.8201539455200537,0.3068043621499477,0.3121675905302623
3,1.991630094115777,0.8380055078571699,0.0340237320267302,0.15294671451005457,0.178821849797538,1.0,0.8343327080079109,0.9370290310697196,0.6495559008567683,0.5741011707411019,0.7758134934524494,1.7850265132525127,1.8215785764354748,0.39090996231834557,0.387213453830155,10.0,5.965687948716765,2.134402942462298,1.1084089916294115,0.3923677563902108,0.4724537324742718
4,2.6949842676559985,0.4212151802778878,0.3860879713423457,0.8404962370347597,0.8600512892781449,0.0,0.7395374612898635,0.7549640371429549,0.6784317369266274,-0.34954137391643925,-0.5824673535776523,1.9985837027883981,1.9819923668457968,0.5666715201203428,0.517006378563387,2.2442391567253,4.263683462367002,0.5586938511063806,2.187131535578893,1.0,0.2773957141386405
5,3.0893721548372644,1.0,0.6760366897486894,0.5003310185878255,0.5358235404310446,0.37585755865740683,0.2954907775747889,0.41648961068095414,0.7472316944685956,-0.3583160726697785,-0.6326775615296136,2.9928192580009805,2.97591201119831,0.40928014852334627,0.4580099705212898,2.5342241318116083,0.9111837030124104,7.0773108938902904,5.0325217206876784,0.3175600744980337,0.3878663674629315
6,3.4821030304784237,0.312861232538527,0.7680701341763739,0.7414452569938157,0.6582716586638491,0.32997308994972685,0.2440240857672526,0.25665736710624304,0.3871909755577625,-0.5082779279382441,-0.6742028204949699,3.4831323283300533,3.758193751620405,0.714016701504669,0.5161107757681768,9.968027627252368,5.956509712398239,9.445680355258583,9.874338570220647,0.10755611442936731,0.1407300262759736
7,1.2878399173237687,1.0,0.6467148669560999,1.0,0.9749082933625548,0.7889617771364389,0.9933873738529037,0.046728362204531436,0.2836264822600873,1.0,0.9237500983539046,1.1967299046497382,1.192113072398398,0.3420890920423273,0.3339285934721129,1.5168420914980278,1.5980441885685293,5.194138989996862,6.074151602625905,0.7402483665783585,0.6470593531102496
8,2.0497360024999427,0.3828844380352882,0.4488500310539646,0.32893836630013856,0.3668585931721261,0.2703680563024812,0.3522724414584957,0.14936033322317235,0.1988035643212694,0.5679147429146838,0.6114581868569644,2.7525007198347793,2.816728573036173,0.7086636350187534,0.6636742467054042,10.0,9.787917505389856,4.139360585884387,3.9799897432296047,0.44428351419498224,0.4403712724044571
9,3.3046741348150253,0.35484366314035426,0.6874899742229182,0.4831410293829775,0.5266595523530562,0.1861948971107572,0.2698839966058396,0.2883108524207468,0.7775636022038185,-0.33309717348682033,-0.7780010792008456,3.1854913587106237,3.4762127952692974,0.6678609344881344,0.4281824038013023,0.7473533637664554,0.8606187111953723,2.138032510621616,7.0534449338258405,1.0,0.2810072154050336
10,1.5523343895118733,0.14532230075672473,0.3107149067106241,0.8234872985588846,0.9419730247308372,0.3210416993821762,0.0717052528600999,0.17635467018217676,0.3014128369049568,0.09528765432735473,0.261742815479705,1.3985704518213573,1.3390343146918997,0.8451549502441612,0.8382979679341811,4.311243901153812,8.702408272592272,3.0009268079504965,7.503308582043222,1.0,0.312015118381805
