ParticipantID,NLL,Recovered_lr,Synthetic_lr,Recovered_vunsamp,Synthetic_vunsamp,Recovered_vsamp,Synthetic_vsamp,Recovered_lam,Synthetic_lam,Recovered_kappa_a,Synthetic_kappa_a,Recovered_prior_r,Synthetic_prior_r,Recovered_a_bs,Synthetic_a_bs,Recovered_ndt,Synthetic_ndt,Recovered_v_max_stage_0,Synthetic_v_max_stage_0,Recovered_v_max_stage_1,Synthetic_v_max_stage_1,Recovered_v_mod,Synthetic_v_mod
1,-0.5211157236064626,1.3545644262774992,0.8063865376326844,0.36300784033216527,0.2947716502634602,0.7012282568332225,0.6686291253507274,1.614381875192507,3.4092024913234207,0.17711699768656497,0.2380546435327751,0.23130297053012153,0.293814157205751,0.9991999312575025,1.0172999807403231,0.5033644471871616,0.4951123625611782,7.330877232144122,6.351249610913382,9.059778262777904,8.80219977218583,1.0,0.9025365564222452
2,0.4419684057616228,1.4952667641695774,1.22864307394038,0.6370806746077722,0.6780420658130272,0.3085603801611315,0.2541852275030753,2.0427220099748244,3.685768697652759,1.310010174134426,1.463632810465651,0.39664673803114464,0.4482144417194609,1.167436343652224,1.094448073973008,0.30868260978396,0.318986006470189,1.2293340086834728,1.2191981389008766,10.0,9.630182395955346,0.6794386609102073,0.5039830093987828
3,1.5327300427988106,4.0,3.692402730354656,0.7123563423186449,0.671544126696079,0.6105793604641233,0.4119347589123773,10.0,7.546222253081317,4.826140742969577,3.140115393034629,0.30075884324505475,0.3822550604911212,2.1668440674740777,2.2301394596291058,0.7417879874745792,0.7123121956474292,2.974888407185779,3.0531353144830677,0.2033542196528655,0.1252283688647326,1.0,0.2682628291359363
4,0.11881102619918839,4.0,3.1869819023603365,0.8127534429171487,0.8369937800671512,0.6999486856284692,0.5627980394129296,1.84213360596553,1.3280748458041105,5.0,3.7878517962371054,0.5065844951407454,0.5161432076284065,3.2568900807318357,3.089315564998488,0.8496506230029467,0.8586117030700126,9.623521268824875,9.475415511018245,7.638954335128123,6.545375346228315,0.4224905004955649,0.8542582098426466
5,-1.4282029582722824,4.0,2.970352230786187,0.6992584487516026,0.6543910695633092,0.9,0.7729116806402683,10.0,9.230030407536653,3.082794227292953,4.510380007624223,0.2,0.4374501569391084,0.5494889990904864,0.6108787352552832,0.8389192974489434,0.8295737184581491,5.055351152535641,5.389315533076343,5.124491201333058,5.42076154739123,1.0,0.8251753305664196
6,0.3131447535748812,0.21447466440514926,0.1279367375030955,0.8438714410266159,0.7901643768526411,0.027898085942029468,0.0311706012039482,9.325457105685445,6.931945583783881,4.902438215889014,2.9374223967520456,0.5815945536676949,0.5850495085001581,1.6411172615919616,1.684096694631548,0.2855092394342024,0.2754620266501041,4.792206172468879,5.094085814387624,4.3189867535991855,8.858231171497215,0.588878653566659,0.5652896703655683
7,1.8590653597679374,0.828971694465545,2.652595565857267,0.33551023015812126,0.3972413078581507,0.6399409227475726,0.874925178409307,10.0,7.425224523517098,1.0877752422138425,1.774512554253867,0.7118884528548602,0.5921186195981958,2.438052037528508,2.3076807239253654,0.8017716837295273,0.884056212378686,3.1263221328594515,2.750540510654117,1.2509800091781886,1.0806748517233733,0.3216132158463859,0.1912720517411701
8,-0.6802962326754733,3.1562858588071254,1.5481849304203434,0.8470152427832262,0.7686538154408831,0.010268167404701564,0.2437604224523249,9.995543786226392,6.263588032086837,4.656077094151551,3.1177590052277915,0.5663136770104247,0.4448282812087573,0.523752226086487,0.4862399797399714,0.7429994175599488,0.7448338730324927,3.1988071158261886,2.957255344238812,3.373771059147366,3.984581965490401,0.34249565952100597,0.3772395675305094
9,0.6422071912234779,2.561547721037201,2.6544105266843743,0.08821568959928511,0.0776999581336476,0.5220701973546183,0.494900928424783,0.035199060872478226,0.1542182234325584,4.8086021480576555,4.915194917697084,0.2,0.5590563334328089,1.7925459331428966,1.7212226435860387,0.1457113696313408,0.1467479307274827,7.006273029276085,6.968783264368051,9.997535289959194,9.058084167065523,0.3270311144589495,0.3181087523446168
10,-1.295145964255607,2.2479486113814717,3.065968578624919,0.24312651780253364,0.2587482918370689,0.8612261580788735,0.861502808136954,4.766556473903155,7.023157547948075,5.0,3.125077965966605,0.8,0.7584408398900888,1.136874287188251,1.2954568328320986,0.9385681050829774,0.9236157463407608,6.450550395417867,6.780829341239825,7.420794561475693,7.7136250720146196,1.0,0.5716353364349513
11,0.6438338473946555,2.4349719565425603,3.335618709996933,0.6413423707986207,0.6284536193626764,0.06745922536610166,0.1319478315992181,4.394244481958299,6.124611286280749,0.7675783975374799,1.3966016780816592,0.7583394620078522,0.7495272338403802,0.9754050516064966,1.0334594737775689,0.3064594950291378,0.2857164953713028,0.49692603943047625,0.4765470496967894,4.7081966643378985,4.475791440506382,1.0,0.5575878151711118
12,0.6645288218388056,1.5133287382642095,2.294244330308381,0.830513649549897,0.8148396419637057,0.22374753264476108,0.3126725395205446,0.40713910971913575,4.475283795912553,3.910222022471492,4.256188312507487,0.3549089908785431,0.546097581939215,2.6950780998500976,2.7197738590476144,0.2920299868018801,0.278359330394316,4.982694659830524,4.87471301625849,10.0,6.209523875804722,1.0,0.1333940301452399
13,1.8933563435712255,3.9451894707599857,0.1316348663701378,0.0,0.1020699010177435,0.9,0.4297149687056877,0.19528843388637776,0.2402673463080851,3.050231686923428,3.1310446456861083,0.6745710006523061,0.2585495707856507,1.2047425832783216,1.2285576895501094,0.4413335145738278,0.4264929458562184,0.24320812515530818,1.1582674670624904,4.637832585292938,2.705519937974664,0.4290974414664391,0.0210796728355112
14,1.6612165103047434,4.0,3.9401822144418777,0.5396932551062376,0.5504162473092695,0.30014963172904935,0.3405184549517241,0.2251525496836876,0.2652835111044915,1.3298462476507316,1.9491937418749208,0.4436127081410339,0.4715351758318606,3.93400199532751,3.744711816928661,0.29014642898571047,0.2785041718380566,4.126722943978192,6.14781891083299,1.835303703573246,6.651683545821934,0.8070034591775396,0.1859609697963389
15,-0.09175576804265227,0.4237139056058642,2.0230533959457278,0.5759866900131263,0.7078506865739413,0.0,0.0869211309855721,10.0,6.060352981689622,0.0,0.1302996634419662,0.3583913335155809,0.2042280342860454,0.5525974480621906,0.5202558464182641,0.4819905009265379,0.4814004591490364,3.801481568305111,9.257041086902309,2.2903226214927686,4.055573841390242,0.4232193323048424,0.0750326393365408
16,-0.9556054584422888,1.8317916412017514,3.445409897932115,0.4204446637100369,0.4673678269233962,0.31160955500120546,0.2870422820256817,9.99786299313892,9.630323387846756,2.721633467596762,4.691308842511892,0.3667632694484444,0.3560113831740154,1.1315200976604713,1.045149858740765,0.5780104934428221,0.5889087033060773,8.112000515361048,8.42518209841559,3.3982404865122944,3.3672108974505486,0.7891142694199637,0.5864294214642616
17,-0.5646846702893296,0.00024826147405927003,0.6489799979152311,0.0,0.1751343617143276,0.0,0.6852016943928861,10.0,1.5009846135204996,0.5005331126174969,1.3295352052391374,0.2,0.6136969179066016,0.37091410727937785,0.3558304382420227,0.030392292127395637,0.0321944038685705,3.493517676715186,2.8752594002402865,9.999999536470817,3.366231805122992,1.0,0.3622161055300111
