ParticipantID,NLL,Fitted_lr,Fitted_vsamp,Fitted_vps,Fitted_gamma1,Fitted_gamma2,Fitted_lam,Fitted_kappa_a,Fitted_prior_r
46080,189.4063268952287,0.0010871776540076624,0.37877367106388604,0.3882884953673358,7.86550351772128,9.704777302995794,10.0,0.08436041623446193,0.2
53366,197.22416884694024,0.8147856509341628,0.9,0.5901852085708532,0.15039393783910354,0.06154828726508523,10.0,1.2430165562283837,0.2
3187,148.09121638197365,0.0040897590738930584,0.5397550517750386,0.6201931637756041,14.94375323155622,6.473636756836055,7.066258463988676,0.044282706525596065,0.294617351477313
68012,190.07643531051514,0.8167048788984743,0.7473115686999416,0.30742947546287647,11.744069473435452,9.965689628119419,0.03305054505520552,0.012575771320404681,0.2
9695,170.70470684432183,0.004739356068886908,0.5872968201733813,0.4698990455562073,17.48898171037785,6.584767095550543,4.600804548993388,0.011557663441693913,0.2
61120,196.37113316485514,0.017809384484594026,0.9,0.7784741289172314,1.1736640935716798,0.5016813784868568,10.0,0.10705177580512411,0.2
4862,181.50544380659701,1.772031201883263,0.5743297567808289,0.9,0.46237494397202356,0.4056242297423478,0.9456945181362917,1.057444292484809,0.26608575422755465
55027,160.74219765941967,0.04498898208483225,0.3754275450961948,0.6227955150117699,20.0,7.043223006583499,0.31460182110115087,0.03497009663271247,0.2
99461,183.09787423479165,1.8556247997339563,0.5689051953270451,0.4887080870892552,0.5001082732190509,0.11573664659506896,10.0,0.0,0.8
16691,224.18167122286042,0.000902132426520845,0.44681664370390234,0.38850697559297553,12.063461710096785,19.514327589027324,6.693035795631468,0.01628750423566941,0.20430270227334216
75759,120.12453751783636,0.0824085509579003,0.9,0.7297633266845824,17.044284046833774,20.0,0.04828942855438919,0.09123159459033146,0.2
4936,239.06270927993882,0.610120909195162,0.8936231819230461,0.007636876010622725,6.897889682892258,7.563657771955223,0.13644750350205764,0.011145561049656475,0.4099955212427978
17946,167.5306464564334,0.0012717726483617397,0.6129658936737138,0.7049112242279968,12.152717024493553,4.83119970831466,6.609500246234695,0.007261223405489702,0.2
33765,272.9397360762058,0.006761536742967308,0.0015665173887954395,0.33309312159337595,19.999988092651954,0.5914140672877356,0.05341144556477829,0.0030025713169486183,0.8
92975,217.08898284921793,0.6295836273714134,0.888035447048429,0.44718695148062215,18.011067487144302,20.0,0.3170153022089934,0.0,0.7508881164693166
97543,266.0368962790145,0.01287006300459136,0.9,0.9,4.585274661388921,3.4145870042368296,0.41627079379326615,0.018989429079226194,0.3207896575409259
63520,262.9090910653045,0.009224892227205638,0.010356538741321345,0.05769157354758938,0.5961996724730322,2.7967984908661654,0.5043631729151213,0.0,0.20226688529162679
99845,240.07914394502356,4.0,0.41287508527687733,0.9,0.09320666580140585,0.7707116586398465,0.32449041599270034,0.0,0.24503969626643454
57653,166.0914603439683,0.0027125406591186245,0.23323851683418795,0.8036817887348949,9.14076144055116,3.24412177621295,9.989097544274161,0.0,0.30551597543794473
35102,190.84283588508117,0.0713533530644436,0.8142578466170193,0.2965970489198242,5.662623601260586,4.349925718340384,2.5969312238447717,0.0040580996432507035,0.2973673901856471
23849,111.80544011061,1.6479286314521293,0.0,0.13893994716810773,0.20082067310399154,0.143306820420302,10.0,1.3165969979054823,0.20874101806822137
88310,246.47965703906337,0.01642072032277756,0.09152684099672295,0.9,1.288705024058667,0.9638389378767578,0.8558848619618249,0.08806660805625888,0.36517447884913934
10951,169.60042953313638,0.0977422967406413,0.3100784286285128,0.6223266028201868,20.0,17.283178793186345,0.05554506030797807,0.02841855071929881,0.2
