ParticipantID,NLL,Fitted_lr,Fitted_vunsamp,Fitted_vsamp,Fitted_vps,Fitted_lam,Fitted_kappa_a,Fitted_prior_r,Fitted_a_bs,Fitted_ndt,Fitted_v_max_stage_0,Fitted_v_max_stage_1,Fitted_v_mod
46080,0.6028041850866128,0.4578499784779336,0.36856613464795357,0.0,0.37989189136540297,9.560265762493433,1.2880479218645906,0.2,0.8830480620628903,0.405474164570853,10.0,4.1482216500948645,0.03418043794607172
53366,0.44343021956748074,0.02682367137523578,0.2825389007251402,0.9,0.9,10.0,0.3743754051163463,0.24104784340762653,0.9250291217368615,0.37751856712504056,2.2101096644033467,2.0261349713233168,1.0
3187,0.2566097750700105,4.0,0.6108470400364866,0.8672879074052874,0.0,9.157438928802568,1.253495104854385,0.3150106008920372,0.8549840783771502,0.2853715004694857,2.349617819581302,1.2780477205734855,1.0
68012,0.7259135467619965,0.21718478806527358,0.31663075080518244,0.4494753101876167,0.9,1.5835612525138936,0.14222692051842492,0.2,0.9789833657759166,0.17426499613930757,1.9689019093120295,1.632823470917121,1.0
9695,0.5452772861270055,0.26126950273755634,0.2875008062326793,0.6971263164687946,0.7460774366343403,9.989424137706262,0.7557185664001588,0.2351936335892877,0.8939888996342549,0.29946799923401934,4.042367816279251,2.2582402946853772,0.14709387209049288
61120,0.7079255436529215,0.08833153239968988,0.24549935687913743,0.8862026080712901,0.7859276181485136,3.7396444041584895,0.06158918039524146,0.30925563975924564,0.963200333400956,0.31885857305948717,3.8114744227862287,2.0124875869978296,1.0
4862,0.5018489936048394,0.151651987447801,0.28509259058638237,0.9,0.9,3.425285202582381,0.8813389456259998,0.253307320410428,0.7993238261964115,0.34404820996716157,1.6648033956971617,1.9408870214933671,0.7036603535969084
55027,0.1318139996369287,0.7021428887228116,0.27191368281256706,0.2424501037170142,0.6556881310233269,2.613177363847746,0.5746650588841397,0.2,0.8022544290354613,0.3493883660842696,4.412829982178545,2.3591701106860024,0.4484956150747664
99461,0.2866300214604703,1.0815828569417874,0.44103011210521836,0.9,0.8497512741748662,1.7042209043409857,0.2262969325593897,0.2,0.7854225627425419,0.3198188976976762,3.532355989879667,1.4330307691281428,1.0
16691,0.7257555641479913,1.3315191320086164,0.40396655080506966,0.04338908252373866,0.9,0.5537387368422612,0.13648245174537543,0.2,0.7991683481856915,0.24818827559977016,2.2553323942029233,1.389209929725996,1.0
75759,-0.052032806176654275,0.6758609648142644,0.43737278524677636,0.47713269174399914,0.9,1.6064362369514464,1.400185486993837,0.20373675976205155,0.9875221008181246,0.23074674246167168,3.203308146242709,2.1658601317779578,1.0
4936,1.1100908967939258,0.02503992601436225,0.1484777700140416,0.4243993902679102,0.8610880745122763,10.0,0.1217691249078883,0.30414385476507716,0.9198969112598299,0.059987433741319825,5.723008562349332,4.314260997727657,0.10368855563282599
17946,0.47899451061314935,0.1283560928508062,0.17973417016901502,0.6151687359229039,0.8164376369649852,10.0,0.3701018531663031,0.2789032251211345,0.8425608759656716,0.4373810375793923,2.9157742219494356,2.247596249444115,0.27953718693365687
33765,0.3070891266245962,0.00026047934044366516,0.23772318155864777,0.9,0.8390930215197117,7.230030578186274,0.0009686140347840968,0.2,0.6029479881018921,0.3173027496192404,10.0,0.0,1.0
92975,0.5471491493465852,0.8943819891097822,0.14836113162827697,0.012992831409324578,0.9,0.10687377700065895,0.0,0.2,0.7430352948644694,0.23612010471863196,10.0,3.6445046425824184,1.0
97543,0.6445072904630038,4.0,0.13175076277511308,0.47997691756788813,0.8822351629582932,0.25565148028261747,0.0861586255858749,0.3690507015541076,0.6893312688999739,0.2609953607027998,10.0,4.230391041466541,0.16276069353183228
63520,1.1289534278122662,0.455427688718282,0.0,0.0008743159500150109,0.01584345661187377,10.0,5.0,0.3874812480584277,0.920604225451392,0.19016332148988263,0.0,0.5425326221543327,0.8577637621210004
99845,0.6635211638534066,1.258485492054539,0.368206702329512,0.031295160909522106,0.9,0.05487222044274268,0.0,0.2,0.7904286583975877,0.29552431893253267,7.9444250846956335,3.9603005353368936,1.0
57653,0.19549443251131124,0.199436635170988,0.09647313473623938,0.4549941234017892,0.715829181112534,10.0,0.0,0.2510958772284278,0.7702484362933018,0.35169275360048435,2.9605415704270155,1.420804529352328,1.0
35102,0.8160041438761501,0.12720481801300576,0.1082196025563298,0.00215618787593551,0.896756309048096,0.39542852106465876,0.0,0.2,0.9439719126203572,0.2183261080171446,7.658921514059112,3.3774083366898555,0.5837602602691083
23849,0.47558431110933397,3.8572378561574596,0.0,0.0,0.13263519284794054,10.0,1.8272620470356307,0.2,1.069616445448689,0.19882595874985978,1.5984345357789762,1.7335007438179846,0.17449748318410124
88310,0.6507349883655257,0.06231038040981099,0.27650347450846957,0.9,0.8653701912671723,0.35241084708579923,0.018257233839526477,0.21266428661959283,0.8157848053002892,0.2849851177995743,10.0,6.490126874038518,1.0
10951,0.08634895048217116,2.274602072881054,0.40869744778366196,0.24295325375217114,0.9,1.0695548941972277,0.8993321307310134,0.2,0.7166175362400911,0.3073807129036652,3.0440260865552315,1.4714830535276218,0.9314616037782959
