ParticipantID,Max_LL,Fitted_lr,Fitted_vunsamp,Fitted_vps,Fitted_gamma1,Fitted_gamma2,Fitted_lam,Fitted_kappa_a,Fitted_prior_r
9695,142.69994280988487,0.22768234186294478,0.3140712393679148,0.7762190531854736,0.4745065723687546,0.26038951301902996,10.0,0.7735382045431496,0.2556077765808236
97543,257.56961642617824,4.0,0.07712321547521599,0.9,0.32600513968396416,0.2032817676826328,0.8994160773675606,0.30247017080040384,0.8
33765,247.320727471307,0.9804264446048938,0.9,0.4183661081100159,0.0014875813673357412,30.0,0.0,5.0,0.8
4936,223.11365056903438,0.11694465222995586,0.2768057054789908,0.7332052916826627,0.1626385918695242,0.23942567919563848,10.0,0.34568176344224294,0.32100998824968674
88310,226.62852885750087,0.44175564641358644,0.9,0.9,9.240239849521208,9.49670282144932,0.0890288322957515,0.017556684771364024,0.3856311283078072
3187,123.85792617632971,0.2932017631310425,0.2658658755856149,0.6551591794922927,9.543035632681478,5.886699687843785,0.8418529485243801,0.05583738787905453,0.5178430703233831
4862,173.3892591742447,0.2763841877951432,0.08333524335629619,0.8510075174177173,6.568409987100026,8.952741733515769,0.20119745217110824,0.09611187629244615,0.4897662815717148
53366,126.91305092704735,0.0074183423651581586,0.4323215223152166,0.8747377889635514,15.193572771195,4.659410248272638,7.793416587529701,0.03728303332244247,0.32556980286522225
68012,166.64979634001625,0.33653125720158045,0.4863660739392968,0.8225628945588549,4.506759671112456,5.435001870084855,0.47692690156355994,0.0442608364630077,0.31094889679242876
10951,152.7777749123916,4.0,0.41279345840521947,0.8951287348303862,0.0746758082563535,0.07527236457729808,10.0,2.976926224080181,0.2
4960,205.28955827661588,4.0,0.13337283073508044,0.31065902471365314,1.9646036790050427,0.0,0.0,0.03217779035246642,0.8
61120,156.67998913826403,0.5287800368634151,0.4498327103680443,0.8484455880215541,2.5210879359398497,1.3580687037195704,1.0805358378020646,0.11835905950088457,0.20994435791596727
23849,129.43467450669857,0.4650570855946589,0.020520603920393565,0.08461873892510148,0.009771385182410807,18.30274278280659,0.24253230634299092,5.0,0.43804439157808345
99845,217.81582925301416,1.2181627095105843,0.27504767505544125,0.9,3.845610757409553,3.9117518336282227,0.08919067117985856,0.0,0.22208433751386883
46080,171.8736541446358,0.28233813572143396,0.28584957083696005,0.5387011718800039,0.2544508365867677,0.1257593453003629,10.0,1.3747947629551547,0.2
99461,137.43443439893144,0.12339757857996989,0.445848188246865,0.8042763662352662,29.99974522606467,9.179417020904795,0.5442827703598319,0.028986235340280907,0.34621013434675835
75759,91.75552497188848,1.3659545587908843,0.523626207383992,0.812138316924632,0.17335376891676704,0.16906765329370402,10.0,3.076620590847517,0.25071697627760026
35102,195.88005751967108,0.14466398698727823,0.10628528217581569,0.9,4.362600116891325,2.320930642410268,0.2772299021319437,0.0072563993352849545,0.2
92975,201.48892547607502,0.8827692252519278,0.13563893123673973,0.9,5.662129924362809,4.495488418604106,0.09319534750216003,0.0,0.2
17946,147.78665888139943,0.03604965612162588,0.018814844901947254,0.894293193241319,0.23553741964080988,0.14225819725520455,10.0,0.9034556194462862,0.2
16691,217.18557559487573,1.2416264584630674,0.43925268352803354,0.9,1.1669619578596295,1.2827353321299795,0.5458684852667105,0.1349821138082379,0.2
63520,258.04235072418805,2.5537291046179074,0.328686365521047,0.9,2.4396066076997682,0.0,0.0,0.04489129426874172,0.24844290777661718
55027,127.00479752571079,0.9466963203445371,0.29462101862852597,0.7536442197479033,7.244005121687424,2.4926052717776104,0.4567458774826831,0.12652622233260136,0.2
57653,142.1256481383361,0.8737657093502673,0.27657064510147183,0.7751817118549571,0.3616209726695717,0.1484941454855661,10.0,0.15532731522429138,0.2
