ParticipantID,NLL,Fitted_lr,Fitted_vunsamp,Fitted_vsamp,Fitted_lam,Fitted_kappa_a,Fitted_prior_r,Fitted_a_bs,Fitted_ndt,Fitted_v_stage_0,Fitted_v_stage_1
46080,0.6036284781104004,0.25579144515597946,0.41738868436430976,0.2945390225394499,6.9726780977696015,0.5424235268935479,0.2,0.8827766062529282,0.40552109025704114,0.4930562285888261,0.19773857939213121
53366,0.48573125274129647,0.9851060094511005,0.6745199597606251,0.9,0.1261629446650226,0.013676709063606,0.2,0.8962820296828334,0.38006021280893815,10.0,5.096763302984381
3187,0.2729806775083321,0.03660735508627238,0.35529983546781435,0.6655093552851932,10.0,0.030075586265694634,0.5436440642854481,0.8452235641415777,0.28606820560648966,10.0,4.2168118898342355
68012,0.7402813055640092,0.060750448463987465,0.5235285588437075,0.9,9.275333341184501,0.03450335611106282,0.3052453206618638,0.9700994595328868,0.17480485824583714,2.4931129048286507,1.3005803862443794
9695,0.5500543422929316,0.7935753748414468,0.42793040870228255,0.9,0.16377820023921963,0.017289603680678473,0.2,0.891239215740466,0.2998132312524515,10.0,4.358799899616174
61120,0.7174587786389399,1.0617916542599668,0.5379944312322881,0.9,0.11754385406204486,0.006390880368323122,0.2,0.9557906240865872,0.31949811336206185,10.0,4.112108662629749
4862,0.5269532534574017,0.48513638551765526,0.5355526389984058,0.9,1.081980749092159,0.16103250122050516,0.37749464276207817,0.7887811025059813,0.3451742548146978,2.4191435305232463,2.5747988603517182
55027,0.13780828270388437,0.4982179338798932,0.26604348744227496,0.6905822412055561,0.3693614549695832,0.048084053512792886,0.2,0.797801720236997,0.35004783939769235,10.0,4.242877854452987
99461,0.30493799810096434,1.077270293818588,0.5158521725040611,0.9,0.33355977076150584,0.012217546571694153,0.25883437682180543,0.7766748155721909,0.32063647179846944,10.0,2.7313039920908158
16691,0.7367218083553618,0.010791463945973172,0.16008845841318664,0.43625961656595463,10.0,0.005395090635125725,0.48475528261956347,0.7949076144999704,0.24866836188987299,10.0,6.922838567043774
75759,-0.025297612550758544,1.8236866710857156,0.5710478375677356,0.9,10.0,3.7922761988279214,0.34332529162537156,0.9612842574478692,0.23184717861008403,0.06338010218880012,0.14747710060656435
4936,1.1105695746782196,1.0922838545823754,0.8416142558380111,0.8725289171461793,10.0,0.4652019988763647,0.2,0.9197093883904132,0.0600064597457203,0.08989904971903648,0.06095533818321435
17946,0.48690362085177574,0.016769037507370695,0.3737184244669203,0.9,10.0,0.00925515905448852,0.30448427864907157,0.8372327785616638,0.43844230520962385,10.0,5.535005475327026
33765,0.3193230609695859,0.012497430554589541,0.9,0.9,10.0,0.0,0.2,0.6003127576693967,0.3173663239012692,10.0,0.0
92975,0.5844783271786648,4.0,0.10889076748211801,0.8065155466110341,0.3872267338718646,0.0,0.2,0.7321658102254497,0.23667970319694884,1.3572855489643556,0.6263121723404441
97543,0.651596680620635,2.0835631993288515,0.14841120639655916,0.9,0.0,0.0089214852183452,0.3968037618478701,0.6873411557114,0.2611526392843609,10.0,4.006262751217174
63520,1.130397720229093,4.0,0.5135647125601724,0.5201640420550512,0.0,0.03250997340043845,0.2,0.9169067509316636,0.1907529147275191,1.4397461655142667,0.0
99845,0.7085589538575658,4.0,0.9,0.26478384136397765,0.0,0.0,0.2,0.7743277029874516,0.29651534979630356,2.0738364790656454,0.021615226840775544
57653,0.21417269531862862,0.03526576389111833,0.34341867505830564,0.8115953869352218,10.0,0.0,0.35948732774540815,0.7610394975833477,0.3526958647891894,10.0,2.8366420863697788
35102,0.8205277444201275,0.09485141390895131,0.0,0.9,0.9074296628711092,0.0,0.2,0.9422576547054262,0.21822953416962917,8.027964926615228,3.498272528385923
23849,0.5065234650898514,0.7911686673544249,0.0,0.0,9.61940347621974,0.9552662742754218,0.2,1.041214084867245,0.20079328496423243,0.20705305302338434,0.065773238849629
88310,0.6871439908808604,1.2309147727295657,0.5133667209392634,0.9,0.0,0.010453979435725538,0.27193117980639947,0.8015407808223476,0.28529023742138787,10.0,8.754029981999752
10951,0.10806434978167914,0.0207070071004434,0.219155435767648,0.6511138735503939,10.0,0.07655791741493077,0.5871124170146093,0.7082991223962193,0.3077249002891079,10.0,6.820527392934429
