ParticipantID,NLL,Fitted_lr,Fitted_vunsamp,Fitted_vsamp,Fitted_vps,Fitted_lam,Fitted_kappa_a,Fitted_prior_r,Fitted_a_bs,Fitted_ndt,Fitted_v_stage_0,Fitted_v_stage_1
46080,0.6024646460637769,0.47070786995140124,0.37133363331065766,0.0,0.37052147436547356,10.0,1.3153476606824388,0.2,0.8833169393978398,0.4054902704392174,0.16214465768608982,0.0651794143321041
53366,0.4780850720353052,0.09191818391790282,0.3586269017584447,0.7656895652259756,0.7578699983119345,0.855558549677752,0.029056787333637993,0.2577612477783385,0.9020931324205662,0.3797860760284908,6.05460093867849,2.9999750044507394
3187,0.26966906405672564,0.04559560328313686,0.23086747391178328,0.46771721649137693,0.48217563595671553,9.969592723523657,0.07105166084451724,0.5169141830375238,0.8463133734535175,0.2860484589193105,4.001252994277367,1.6360461826339592
68012,0.7371971097297267,0.2691298063457278,0.3312568574033998,0.18668047391811005,0.8696195244107703,0.745795012915995,0.06016758417836574,0.24032074700159617,0.9717201824720328,0.1748292781387391,1.7410902821821772,0.9181128292709232
9695,0.5474810949266932,0.39156557755153576,0.3001265631894051,0.6498447405376644,0.7271418193110368,10.0,0.8433076525737692,0.23840361263294543,0.8924572949177074,0.2997639474114226,0.22982401879189987,0.10228025979753604
61120,0.7113121564719863,0.04871124037154184,0.16368287802760997,0.72962693316836,0.8648185981371942,10.0,0.1219404059062431,0.35190185973965304,0.9605957893459748,0.3193361102123714,0.7955088417745593,0.3237014386246095
4862,0.5140700607846875,0.23073194541196337,0.2557975485319119,0.9,0.8891675113592886,10.0,2.0271920110675676,0.29125417546087,0.7933235243087989,0.345015030222595,0.1111446396830167,0.11540804921876253
55027,0.13747395166422038,0.7941025807466345,0.27567345482478944,0.13837393646156146,0.6624120006602333,8.626121171173676,1.5088773034008833,0.2,0.7982302118777478,0.34996691509724515,0.23056194153253692,0.09858194419456655
99461,0.3030695102653389,0.2810103369543546,0.3372898069273311,0.5240140061760583,0.7574046324701034,0.4805047593227091,0.014337256363928026,0.32532568646133597,0.7772869558376323,0.32073501173987634,10.0,2.621646019436661
16691,0.7302806601674495,0.026515806804403144,0.028363259459791467,0.08366474204607481,0.6855268299114793,10.0,0.11563103103908584,0.47496715922721683,0.7971640286177355,0.24854052433931856,0.49545405555471933,0.32466693822375825
75759,-0.03437361168812697,2.4494334434207286,0.5265052003614192,0.19189967453271373,0.8690164653966802,10.0,4.651085748283976,0.2,0.969989834817967,0.23148164017056755,0.027125791628129753,0.06369001971108028
4936,1.109986736652205,0.10605341986061402,0.14400456424436253,0.5529627072909716,0.6578108206879921,0.07808260928577823,0.0025809741505023374,0.2,0.9196211618765445,0.0599232284238401,10.0,7.063556903613637
17946,0.4827966892239097,0.18125135275372006,0.12957460440887789,0.0,0.8662561903528594,10.0,0.6290996327407676,0.2,0.8394946045756652,0.4381368000413478,0.14413955173996243,0.07633443548657252
33765,0.30699414495184363,0.004180065562646367,0.29370185171654867,0.9,0.7316879837123832,0.42362577811902885,0.0004019282811169975,0.20075846301559108,0.6009409640263493,0.31750557338530083,9.998968325683716,0.0
92975,0.5486825626183024,0.8709638095390171,0.15837966798795836,0.013078254184136958,0.9,0.09401955412568712,0.0,0.2,0.7431948366959358,0.23622166354237575,5.446372649675599,1.864606964929997
97543,0.6444243391161643,4.0,0.13171954969845615,0.4793990738470205,0.8826950879053835,0.2558575883500365,0.08558500879053539,0.3691432324808873,0.6893683933449031,0.26099781603363054,0.8106183814019458,0.3404323880315296
63520,1.1304719464408168,0.0,0.2932283194919784,0.9,0.9,0.0,0.02360441837156314,0.6495956484269482,0.9169167846356833,0.1907227414670571,2.817937667186618,0.0
99845,0.6640236368573711,1.250546775749801,0.37133455484444994,0.031355901627160634,0.9,0.052281301639333845,0.0,0.2,0.790237201912951,0.2955388403364485,4.008178756950582,1.9379311576160059
57653,0.21060016330213577,0.3189671952737426,0.27372348230800037,0.5040510242154516,0.6233055873978434,0.6111272927107557,0.0,0.3409103335521956,0.7623006013113832,0.35267365142164775,10.0,2.8114444493928628
35102,0.8155405809392354,0.1292337389846702,0.10732504760255288,0.002502253597833428,0.8948906513142563,0.4149951405612051,0.0,0.2,0.9444207402228753,0.21832020712159295,2.140397469965024,0.9010757528210779
23849,0.5065193613445255,0.7909579488071612,0.0,0.0,0.0,10.0,0.9731251814817589,0.2,1.041055529438927,0.20072902740916465,0.20007612156583196,0.06322676127270711
88310,0.6497736275330687,0.08905134061171295,0.3404723137586545,0.9,0.7864172428963783,0.13432622431240443,0.009320174514313133,0.21115677361679439,0.8161495575282026,0.284979360757342,10.0,6.276219985466374
10951,0.10805831353635512,0.290329515675998,0.22098982627181246,0.619967498079447,0.16923507624508766,0.7062544655579281,0.07706487412480628,0.5721854541380775,0.7082260569788398,0.30771306467127624,10.0,6.80211464640202
