ParticipantID,NLL,Fitted_lr,Fitted_vunsamp,Fitted_vps,Fitted_lam,Fitted_kappa_a,Fitted_prior_r,Fitted_a_bs,Fitted_ndt,Fitted_v_stage_0,Fitted_v_stage_1
46080,0.602464647599561,0.470578418269712,0.37129401865745104,0.37049183390339613,10.0,1.3150423017494157,0.2,0.8833200985438658,0.4054858550483956,0.16217040104736852,0.0651857735255354
53366,0.4923131385078611,0.5764241863110571,0.7096139490339691,0.8465084592310538,0.5252201027374198,0.059663607160051445,0.23611354296886328,0.8937877589625263,0.38042685128379494,2.755592596985435,1.3600736223822152
3187,0.2833736533504578,0.5489068660282072,0.2740505397033962,0.6900858225545146,10.0,0.9573077317705467,0.4199444562135983,0.8399037992449384,0.2862778418332779,0.2884367822365992,0.11869801313544216
68012,0.7440988189144346,0.5016932343432536,0.4298900198750134,0.8290168199132653,0.6911796777457028,0.05839409960251957,0.26591518275291065,0.9678050318131726,0.17492926804587838,1.743095325589563,0.9116041690255388
9695,0.5500768261593595,0.5035179954081042,0.3378341610317903,0.825576113715297,5.505228800275424,0.6612590830774224,0.2,0.891795115799038,0.2995414059027809,0.2663602914602297,0.11850658663409479
61120,0.7244861914427918,0.5373657261066056,0.4513791299761087,0.8632565663676655,1.3145839839446412,0.08326474018726095,0.2100906827973868,0.9535044818570096,0.31968251058967395,1.0452498068465608,0.43618556643706996
4862,0.5196115756435497,0.44586642605701376,0.36546370667612404,0.8850802817128128,0.3552448611510398,0.25236190280822396,0.30436039578035207,0.7911035704592099,0.345215342830743,1.6575649971536712,2.0567089181667053
55027,0.13950894410393733,0.934607465536495,0.3068473814893159,0.6840845655744546,10.0,1.7180158211975498,0.2,0.7971035898956057,0.3500558753382431,0.18555495595253876,0.07993945843521497
99461,0.3072429483898891,0.3034824181218064,0.31804649337564905,0.8243566244380529,0.40562028812586093,0.018710429503445754,0.37008564107307884,0.7752130550254039,0.3211504690425115,8.444866237915312,2.283766763071374
16691,0.7336491883182757,0.16221404314084295,0.10516279131539602,0.6599518985960887,10.0,0.34619601853582255,0.4368403088738251,0.7959984864059693,0.24860071257528488,0.18315363230009118,0.11631153345374719
75759,-0.03374409981889168,2.291523869245483,0.528780682496228,0.8884512357038691,10.0,4.648855947929732,0.2,0.9694011262352602,0.23150057003011015,0.027142047934363495,0.06304995642571679
4936,1.1104780582859315,0.0937015518239656,0.23499744861689534,0.8604131433301189,0.3310293186968556,0.018079498783684356,0.3054952254526861,0.9196744368936287,0.0600535409403532,2.002792964212186,1.5926495731499992
17946,0.482796689176646,0.18124413303268463,0.12957109369785438,0.8662571812587866,10.0,0.6291010733831911,0.2,0.8394955778463952,0.4381368155318732,0.1441417684999074,0.07633495710582579
33765,0.3166317145953237,0.14922114750723328,0.9,0.9,0.06431761857632094,0.0,0.2,0.6009402917116915,0.3173371196784095,7.187116753806579,0.0
92975,0.5498085177433779,0.9310923295808232,0.1740581465303047,0.9,0.0896905703843047,0.0,0.2,0.7427543554389802,0.23628266439580226,5.435523093083085,1.828986712868659
97543,0.6549023901242197,4.0,0.08925799936254435,0.9,0.6612189731068474,0.24154046414742883,0.6973367980151968,0.6867317398717904,0.2611274948886566,0.3737189042022307,0.15820264872724857
63520,1.1173055450969587,2.370039655145989,0.31989416797676035,0.9,0.0,0.04020124867802617,0.2569566975611976,0.922126913207813,0.19052771060138418,1.6385867358338873,0.0
99845,0.6660643706727254,1.3357868438110159,0.37949269689345577,0.9,0.04636387246801614,0.0,0.2,0.7895396534626817,0.295550155191902,3.9243707092699416,1.9458083885165245
57653,0.219294959622756,0.8152714305262444,0.3576169908303456,0.8017619812461496,10.0,0.0,0.2036872609752295,0.7589852925136666,0.3528039332351718,0.23556759953826534,0.06614218495387528
35102,0.8158506441300462,0.13304187616556332,0.10579527847834931,0.8970453099442599,0.4009740746398398,0.0,0.2,0.9442725087273408,0.21832734673214294,2.128798220880629,0.8921896060786462
23849,0.5065193626736975,0.7909344417957034,0.0,0.0,10.0,0.9732672882081755,0.2,1.0410615557258645,0.2007290282071107,0.20005659073146184,0.06322764355781552
88310,0.6803177254712713,0.45415838288397176,0.9,0.9,0.09299473390427747,0.017532502533088183,0.3410263312680821,0.8047469904320761,0.2853401774563122,6.219698463686901,4.190094233598607
10951,0.10947847187517229,1.9902441996798952,0.40408540930756154,0.9,10.0,3.0793874525697396,0.2,0.7073093125508768,0.30794413105993185,0.07429876170247664,0.04290963494713538
