ParticipantID,NLL,Fitted_lr,Fitted_vunsamp,Fitted_vps,Fitted_lam,Fitted_kappa_a,Fitted_prior_r,Fitted_a,Fitted_t,Fitted_v_max_stage_0,Fitted_v_max_stage_1,Fitted_v_mod_stage_0,Fitted_v_mod_stage_1
46080,0.602409987162516,0.4354327538823175,0.3554732535781944,0.39255443921672517,9.566588731746387,1.2284096945935412,0.2,0.8833055431114708,0.40544289099339814,3.9536012802952665,5.0,0.09562297541706168,0.02806351038852355
53366,0.45804723261072516,0.7099324107785197,0.7787145752744588,0.8059300607255221,10.0,1.523518910562614,0.2,0.9152415745486786,0.3784376976615305,1.8733571487721783,2.1979771431361192,1.0,0.11693601328043346
3187,0.2637151556425273,0.32529868900441206,0.22573815127021674,0.634308554467385,9.797609297956756,0.5354015834663772,0.483112754800184,0.8507184430551719,0.2856850165124826,2.7508381766396255,1.9915964958195234,0.5809211284867463,0.2660350456259
68012,0.7366722548957384,0.4089061284951412,0.48545283969330993,0.8073228770649941,1.8360698932801975,0.1227508947272858,0.23011477561357932,0.9723640021637576,0.17463409503516938,2.518040988159545,1.5645874704553329,0.633158337192062,1.0
9695,0.5425415299273152,0.5142407113883709,0.3789721033204691,0.7781335452951129,10.0,1.0031721997265435,0.22860077020239486,0.896779866285858,0.2986775926908043,2.056536591958302,3.091932807352711,0.3646427889208125,0.056688659818368764
61120,0.7163900767847448,0.6003202724523466,0.4298056915567653,0.8503955300892763,2.8843564042103402,0.35446654988853454,0.2,0.9585119967513227,0.31913537579886886,1.7849474772549647,3.651287385036667,1.0,0.11723453607952265
4862,0.5166588342779521,0.40554149336830936,0.4597712882624836,0.8952964159165888,1.3617316840538083,0.892301126550185,0.2,0.7927653871993414,0.3448508388332125,5.0,1.8930687001223072,0.1585385382333824,1.0
55027,0.12795815780734435,0.9438567114277984,0.28770935306251044,0.7241609858588941,1.7732232678144717,0.44963170422912674,0.2,0.8043459659525092,0.34920222067851286,3.31259197223551,5.0,1.0,0.18029264510100848
99461,0.2829755629032642,0.1710624634162187,0.4697192042139287,0.7747908999380559,10.0,0.4815775746038285,0.2823914821208819,0.786799401079823,0.31980031420484023,2.9606137521261418,1.8978263143653564,1.0,0.2798137235578136
4960,1.3130742819536678,4.0,0.15600431481527854,0.005881582065714595,0.0,0.028331400567613855,0.8,0.8939795717690581,0.0,5.0,3.556239214608807,0.44900548629543,0.0
16691,0.7252074282471553,4.0,0.7786756075124162,0.9,1.5546295402717738,0.559941651787445,0.2,0.7991701308368493,0.24825248339397882,5.0,0.8808018148709456,0.13336674393478645,1.0
75759,-0.04752552928766781,0.7090746691018555,0.44236551541030317,0.7976603620309659,2.6609826969120642,1.5380556171163293,0.29605384266204765,0.9833011564660175,0.2308503826380555,3.216521691497155,2.0365273046965693,0.8119425687216647,1.0
4936,1.107287368733592,0.0636822113343179,0.3630223096386435,0.7365307634445192,10.0,0.04362232004741448,0.3040309642094434,0.9210932166034331,0.0598252901281089,0.7155087799179752,1.3925663792073626,1.0,0.32122429661648133
17946,0.4825683298554025,0.14030781182903942,0.09990430628633287,0.8685773743532536,10.0,0.6459499332730757,0.2,0.8399509529430566,0.43790551980518194,3.4506035321076673,5.0,0.09288525929228172,0.032467077575082146
33765,0.32026760456305337,0.015898921438308157,0.9,0.6007848564207645,10.0,0.0,0.2,0.6001433346990239,0.31734283632280835,5.0,5.0,1.0,0.0
92975,0.5590603026582818,1.1441810416185516,0.10398828377796343,0.9,0.21874464347234004,0.0,0.2,0.737539812275567,0.23614834966932777,5.0,2.2054298653823086,1.0,1.0
97543,0.6547760363070154,4.0,0.11062851220754916,0.8380013724601604,10.0,1.9618494253830523,0.8,0.6868329377778466,0.2610822724012751,0.6146014626606465,0.8327021743852545,1.0,0.04548907225752796
63520,1.1165069657593945,3.546316647892752,0.38960492141914693,0.9,0.0,0.07312015103154819,0.2,0.9224487141626123,0.19051121582600014,2.213596542243726,0.0,1.0,0.0
99845,0.6690616014261122,1.4940100707673267,0.3489753547256749,0.9,0.09843741214585681,0.0,0.2,0.7864187077526957,0.2954894241733213,5.0,3.252079908463034,1.0,1.0
57653,0.1891269158470593,0.9353998950578521,0.3256201549452376,0.7874173285386902,10.0,0.5109249316522904,0.2,0.7719730006846356,0.35192236953515665,2.5784898431911403,5.0,0.7203769381577344,0.02704740585564509
35102,0.8155646018335133,0.13215103703832584,0.10595739095472048,0.8963375916201622,0.4128794455752312,0.0,0.2,0.94428976643224,0.21832112819317134,4.325478772022722,5.0,1.0,0.3576916154529909
23849,0.46854682237425144,0.6905424323573033,0.0,0.02761422450899032,10.0,0.8214994436143839,0.2,1.0755168383654459,0.1986464367475499,1.472853944887697,1.9769723980407738,1.0,0.11154001059705339
88310,0.6881822958061558,0.5330046017900986,0.9,0.9,0.1814905026658291,0.04433422394920792,0.2569897651696854,0.7996991273766357,0.2853766362918228,5.0,5.0,1.0,0.8791419022687927
10951,0.08671146012785734,2.338424256853256,0.52972720741769,0.8926976749308462,2.3303208111950062,1.448548448742914,0.3348647195543405,0.7161780898157363,0.3074967627799538,2.7622193969277125,1.280463761192362,0.9374463140718757,1.0
