ParticipantID,NLL,Fitted_lr1,Fitted_lr2,Fitted_lam,Fitted_w,Fitted_p,Fitted_a_bs,Fitted_ndt,Fitted_v_max_stage_0,Fitted_v_max_stage_1,Fitted_v_mod
46080,0.6474524353845819,0.3618025954082013,0.6575580271364495,0.698115209501992,0.6335480544278226,0.21347553927218832,0.8639770668209418,0.4061013579268091,10.0,4.842421387691368,0.704047096829514
53366,0.6325272767872314,0.9841213585400813,1.0,0.0,0.8560187879465986,0.024603872782459516,0.8267788976309852,0.3846617078602749,9.918118361138879,2.4568737221430577,1.0
3187,0.33743656924260007,0.8870971822167546,0.8365587988075234,0.9774227188029856,0.7394939985780417,0.06486127938948835,0.8083246985875643,0.2877794110815231,10.0,3.520301196382405,1.0
68012,0.7952152964841814,1.0,0.9358584852435876,0.4015679942072581,0.8381355400313397,0.045040414434490195,0.9392916172489693,0.17632779755556088,6.7893244966887485,3.044123227472478,1.0
9695,0.6149287168194468,0.9987305671972994,0.9401127945269385,0.7226517539959018,0.8597577162411345,0.07099405375569492,0.861019645541467,0.3019784346223777,8.906293974974824,3.510708213729435,1.0
61120,0.8438781732895818,1.0,1.0,0.3505345555682399,0.8506996663982577,0.010090794934835879,0.8944981206576599,0.32396682763850737,10.0,3.3772587587727654,0.7424893593479477
4862,0.582641564098541,1.0,1.0,0.0,0.8961910152963685,0.4319879805574371,0.7681267976824887,0.3469301646218597,3.762195922779829,2.9876907336763745,1.0
55027,0.22433011692887625,0.9987115652051627,0.9501974424800045,0.4721940514797265,0.8331220307949415,0.21922547487879798,0.7524364458119057,0.35192553944666155,10.0,3.5790909842141647,1.0
99461,0.43250358192702903,0.3320284375836411,1.0,0.0,0.9693440495927514,0.055945992086459964,0.7239304375091611,0.3233340942600969,10.0,3.1258366595862355,1.0
16691,0.7236962567712792,0.02543663441160162,0.6171332963473797,0.0,0.38468328591024276,0.004452687705401031,0.7964334211815155,0.24840757983423858,10.0,3.7061708531791666,1.0
75759,0.06064643590032742,0.06578871092775433,1.0,1.0,0.4447978758112225,0.5921287376785457,0.8890734014315272,0.2346515880404044,6.536141445005202,3.5425930756404806,1.0
4936,1.1493059035042674,0.8324459865574358,0.8788620317311182,0.6514481433206564,0.7797985064900651,0.062483802824172485,0.9048713028845459,0.06134809785164644,3.398624440930621,1.6547150739881378,1.0
17946,0.5445477864384107,1.0,0.8998574077703078,1.0,0.9408253752513595,0.031487983026750675,0.8120716049988531,0.4403613346662955,10.0,4.447915001999612,0.9327644618539498
33765,0.36232191816737763,1.0,0.5483010927011899,1.0,0.6753063329077859,-0.030632370010988823,0.5909048314041907,0.317804955238913,10.0,0.0,0.8933532537820846
92975,0.6140503170929317,0.36487902156509,0.7683592196069852,1.0,0.8106261064193081,-0.027021419786720603,0.7232496213834078,0.23718603381847198,5.970605022390046,3.0115072091685313,1.0
97543,0.6811688573864061,0.023806452680131547,1.0,0.0,0.3972276505178666,0.04422044738359134,0.6799941630924894,0.2616236489060336,9.670841217467606,1.735145064648164,0.6362033604227666
63520,1.1334776838706235,0.15545368343317645,0.04922800440357835,1.0,0.7225316500821101,-0.070369133124199,0.9158670921460389,0.190681094376892,2.2936532559219422,3.1520172808631823,1.0
99845,0.727303960534373,0.09050992521039482,1.0,0.19432168904829483,0.3158760169879433,-0.1496924216896767,0.7687141342484682,0.2964405574319207,10.0,4.58965932748186,0.47989296222398825
57653,0.34153519117204084,0.8990517841554698,0.9458293804929856,0.0,0.9821423770077603,0.0005210478860215312,0.7059140994018573,0.354244557490963,10.0,3.6143849712176954,1.0
35102,0.8140235257269544,1.0,0.9191357189424436,1.0,0.9818532098666143,-0.018642271526732177,0.9453910233215745,0.21816928076918482,7.671293470676382,3.228517961390085,1.0
23849,0.5129208182338928,0.02444546765384871,0.13022399797885997,0.5398736434289203,0.13005239943714697,0.06294961886427816,1.0353193052549121,0.20078687074173646,10.0,5.80240589828808,1.0
88310,0.741048491160275,1.0,1.0,1.0,0.8759656433720462,0.09497576906500081,0.7834595665811623,0.28591740499766827,10.0,4.8212363412226775,0.36423787565159543
10951,0.12314902779953091,0.017515357733097106,0.9190335249562874,0.0,0.359628229615568,0.25791765351205836,0.6962210511089182,0.3085303382269015,10.0,3.279902813503458,1.0
