ParticipantID,NLL,Fitted_lr,Fitted_vunsamp,Fitted_vps,Fitted_gamma1,Fitted_gamma2,Fitted_lam,Fitted_kappa_a,Fitted_prior_r
46080,171.87365414613402,0.28233437837377384,0.2858466727055083,0.5387048346188783,0.25445041531905277,0.1257603343178741,10.0,1.374792706509111,0.2
53366,130.0743218442693,0.4183658946082924,0.7002143504341867,0.8480905819887778,5.1056591576139265,2.4367246413109784,0.814424818521669,0.12400764896240599,0.2
3187,123.85792616496778,0.2932059848344345,0.2658684174496946,0.6551618198563743,9.543732097933075,5.887198540717826,0.8417834062726988,0.05583213866066014,0.5178414082475815
68012,166.64979630078977,0.3365263180298151,0.4863571409988441,0.8225524493054412,4.506640589756145,5.434727848079346,0.47696590299393493,0.044260692223401364,0.31095543443191237
9695,142.6999427774875,0.22769198039464736,0.314074777279514,0.7762022750199908,0.47454754574822866,0.2604051603363878,10.0,0.7734782827141701,0.2556228365583905
61120,156.6799891342546,0.5287528714995476,0.4498244689292571,0.8484466132725194,2.5216205432238,1.3583664272412392,1.0803077811816475,0.11833654041018957,0.20995375994380344
4862,173.38925916852043,0.27639586287613516,0.08333934418986547,0.8510048836517788,6.568314415808063,8.95279346320552,0.20120134670113088,0.09611379601333525,0.4897719435769251
55027,127.00479752151848,0.9467100064954426,0.2946232965486834,0.7536396731477832,7.2439348601860525,2.4925914808045304,0.4567558495548518,0.12652876218471013,0.2
99461,137.4182165664226,0.1272011688497453,0.4730201491917735,0.7781324171219086,20.0,6.134478493146426,0.9194898557675346,0.04350890380299713,0.3361464687594659
16691,217.18557563674153,1.2416764494876364,0.4392779185878109,0.9,1.167017974335789,1.2827920945439462,0.5458377065368403,0.13498139229606074,0.2
75759,91.75552488307343,1.366066710772127,0.5236212613046074,0.8121252152143117,0.1733475766336515,0.16906729289193057,10.0,3.076638385221326,0.25073759690625486
4936,223.11365052900436,0.11697305270995602,0.2768315698783958,0.7332090556179436,0.1626268897071313,0.23938732605460927,10.0,0.3456231969112887,0.3209983340815317
17946,147.78665888157508,0.03604943266809027,0.018814684245049746,0.8942933472788778,0.23553694710134568,0.1422582131653075,10.0,0.9034596540136516,0.2
33765,249.20534462859393,0.0023858252233170344,0.9,0.7363358158467419,20.0,0.0,4.552529950320632,0.007223396736973106,0.2334905753050201
92975,201.48892547514077,0.8827690863845665,0.13564011550114957,0.9,5.662151721046715,4.495506589736373,0.0931941564507616,0.0,0.2
97543,257.5696164286975,4.0,0.07712295014777826,0.9,0.326013070503604,0.20328573666097033,0.8994028165421156,0.30245659450134943,0.8
63520,258.0423507243079,2.553719401563368,0.32868588797332415,0.9,2.4396159473378294,0.0,0.0,0.04489085554906966,0.24844468315480936
99845,217.81582924839043,1.2181303402270585,0.2750390881545435,0.9,3.845570727832454,3.911810687703176,0.08919205722968473,0.0,0.22208944327298868
57653,142.1256481360237,0.8737775055129304,0.2765734518935179,0.7751813182616989,0.3616200393284127,0.14849435902452843,10.0,0.15534849322872205,0.2
35102,195.88005750094302,0.14466519497539443,0.10628949953413161,0.9,4.362726525400358,2.321047950881296,0.27721907961666653,0.007258188255294755,0.2
23849,111.81680075829188,1.577632478366695,0.0,0.13841401238517478,0.44315075080474486,0.3148710459181675,4.552703859555121,0.7204512355728916,0.20173255641923277
88310,226.62852885117044,0.44175540181319667,0.9,0.9,9.240517026704566,9.496941298922543,0.08902835986019789,0.017555938671155874,0.38563321321117805
10951,152.77777491241613,4.0,0.4127933921134839,0.8951285232713615,0.07467582858551843,0.0752723792696456,10.0,2.976926208388372,0.2
