ParticipantID,NLL,Fitted_lr1,Fitted_lr2,Fitted_lam,Fitted_w,Fitted_p,Fitted_a_bs,Fitted_ndt,Fitted_z_prime,Fitted_v_stage_0,Fitted_v_stage_1
46080,0.647169737742975,0.35930403868795774,0.6564786028110953,0.6986888418815322,0.6337197871147602,0.21380324841424195,0.8641895763958498,0.40610835271751644,0.0,3.4894307269857583,1.6746593906876484
53366,0.632653727715272,0.9842206103166068,1.0,0.0,0.8560223047287335,0.024506521058130414,0.826715411773943,0.3846710615997862,0.0,4.907275507510542,1.1352987578394649
3187,0.33573934698015473,0.8417491874222645,0.7704996731838342,1.0,0.7906865640309902,0.03764961344670398,0.8131970794463041,0.2878095453541723,0.0,6.0454153504561905,1.7797462382783495
68012,0.7953330926555675,1.0,0.939489174303441,0.4063737501148174,0.839309740390521,0.04598016469062307,0.9392235417194388,0.17633252581037748,0.0,3.334926662077672,1.4128272614136934
9695,0.6060163180475105,0.03717901685314318,0.9597060558558128,0.2615736858494165,0.42997052477965664,0.03343426992372566,0.8638180491485397,0.3021122725400423,0.0,10.0,1.6107941246399589
61120,0.8438561374221738,1.0,1.0,0.3522180995042719,0.8503826918873872,0.0101945284406597,0.8945145720699579,0.3239676232495669,0.0,3.68886863688045,1.1992213192648928
4862,0.5828013057977781,1.0,1.0,0.009055573798833174,0.8973421797033008,0.44732546747231855,0.7680649612719117,0.34693743529426924,0.0,1.7605983777043126,1.3805810170337034
55027,0.21929164219044048,0.5452731699012422,0.9021660213584076,0.3480022711166441,0.8134788747246213,0.16024376130430354,0.7600875422294434,0.3520299046380207,0.0,6.606681586255247,1.7571352830369174
99461,0.41993253985346807,0.017564723971607393,0.9872841711645033,0.0,0.7193390384062879,0.01084557185084059,0.7346738581259157,0.32361361206373224,0.0,8.955696072752348,1.4805209187382666
16691,0.7212010018133325,0.02250354507164977,0.6062143241277038,0.15042500828985084,0.40887234095798697,-0.006256893647517082,0.8000893849940723,0.24851562165292002,0.0,6.20939644047528,1.8246276461706064
75759,0.06186049330655134,0.06578363683275276,1.0,1.0,0.43034920981860825,0.6847640248429654,0.8881983374915041,0.23467614932153763,0.0,2.7392212807693106,1.6355664315779617
4936,1.1493535459550224,0.8298112759875316,0.8786091392091873,0.6595014746560096,0.7807616177335446,0.061875773875827156,0.9048546886530937,0.06134715935831099,0.0,1.6763119084310862,0.7767721543244672
17946,0.5444552665822667,1.0,0.8987268243870463,1.0,0.9417222533769175,0.0315709602960068,0.8121263408248371,0.4403691309730771,0.0,4.623993662727963,1.9561219610610476
33765,0.3605262087001437,1.0,0.1079393651292886,1.0,0.8357381376684485,-0.01159158139902543,0.591078259956045,0.3177963210771928,0.0,8.736950961941933,0.0
92975,0.6148676447741525,0.36347027129158954,0.7757252796367679,1.0,0.8081895336842464,-0.02774523405630337,0.7229911351557409,0.23721120332964918,0.0,2.946508617584618,1.403119310830827
97543,0.6929205063215008,0.0011891925994323216,0.3433619166909962,0.4685210933364753,0.002921576905014943,0.0069756653431585275,0.6764247492196815,0.26372635568828795,0.03628261465458073,8.985360756679142,1.0196930902672448
63520,1.133606353322608,0.15600435975483057,0.048547996852765354,1.0,0.7213202478616232,-0.07038970051237455,0.9158002899443305,0.19068636738069403,0.0,1.150908144855452,1.5565840235432402
99845,0.7272858212609302,0.09059480826230842,1.0,0.19548980499066324,0.3156306082223246,-0.14971154950029963,0.7687251158555376,0.2964403764312318,0.0,2.3977173708435244,1.080634433176548
57653,0.3094818379272557,0.9619337744877141,0.7793426615863965,0.0,0.9834928307948672,-0.03324392835660489,0.725811841736113,0.35436918629011915,0.0,9.913689652384672,1.9709515648597922
35102,0.8143465026603207,1.0,0.9272023820553233,1.0,0.9812777840106904,-0.017840197612388576,0.9452274131118661,0.21817614217024664,0.0,3.754936447471913,1.494204979993773
23849,0.5151991825240719,0.024085509629839495,0.13173675280447994,0.40570382711920555,0.2743873909017005,0.0475734207255252,1.0344432443822142,0.2008582214239611,0.0,6.024430290154045,2.7894511118479293
88310,0.7410436320212336,1.0,1.0,1.0,0.8761345374172236,0.09522926524061068,0.7834632161539801,0.28591723241256867,0.0,1.8161326089557475,0.8684693983876015
10951,0.1154669531352577,0.009158428707723442,0.8681698454312583,1.0,0.3339880768813224,0.12271176993345331,0.7034529716276913,0.3086982754332805,0.0,8.051744210984763,1.628243897429576
