ParticipantID,NLL,Fitted_lr,Fitted_vunsamp,Fitted_vsamp,Fitted_vps,Fitted_gamma1,Fitted_gamma2,Fitted_lam,Fitted_kappa_a,Fitted_prior_r
46080,169.07069551213203,0.012773067139689172,0.3414010810552514,0.3666081388363121,0.0,9.490491849635129,19.091722232021844,9.62418394247121,0.04879454909696825,0.2533294302826534
53366,120.56987354251183,0.013187823673545396,0.3311220963270985,0.8332400555822062,0.6798257324120486,20.0,9.286932850699474,4.70295506069522,0.03653409793458866,0.249921631036078
3187,120.55058569504716,0.034452036075737574,0.22390804572770487,0.3420966226206662,0.4976635319605265,8.264535166973445,4.35632175955278,10.0,0.05842326118943949,0.510980290053438
68012,163.05772411314396,0.08159868973465766,0.34105715356812966,0.8346744061060773,0.7078517952157451,0.9054203435101167,1.0377413876361332,10.0,0.2097145769015777,0.29624470207476744
9695,144.32662696678423,0.021751809042500403,0.35920427925901427,0.9,0.3580318788748708,13.71280463113882,6.755694591767627,7.169864893493684,0.03235905646929898,0.273926042924485
61120,152.01416494477837,0.43665081942530515,0.3860876384305648,0.9,0.5482300611215698,18.336994367432062,9.467222719972114,0.3386504580485218,0.0172922717676431,0.3378531737802327
4862,169.54620851061364,1.2325928411528184,0.45152742604226603,0.7867064382486751,0.42268906335195544,20.0,19.119689274873693,0.0,0.03142035270521182,0.2586172233711928
55027,126.3207888613698,0.8997843671305765,0.2881867144337755,0.07204374261465836,0.7430376292966434,8.031940317304183,2.800051023010006,0.42568121711219714,0.11039273320807522,0.2
99461,133.56295763504767,0.08908112514389441,0.5218621021436594,0.8906067685456721,0.3484599081138007,11.694163556444106,1.9041820623768904,9.999996564563686,0.13911992493237438,0.3422912798533527
16691,216.1539319810057,0.99843400156874,0.43634075807903583,0.05132243399480134,0.9,2.0551181680953174,2.225100730636672,0.3184184881006385,0.08079112236478901,0.2
75759,88.28784354858115,0.6248584051787728,0.38503365261392,0.9,0.9,0.5195481286497401,0.6630427505286208,3.3669604489107208,1.9858928345518592,0.2650509215158289
4936,223.11365052935622,0.11696695596193196,0.2768453003917435,0.0,0.7332036754390586,0.1626396885562115,0.23940712297325858,10.0,0.3456148478602268,0.3210053861179918
17946,146.64088578144555,0.00010704243115195276,0.00022495953457984496,0.001555204173937898,0.9,1.4001475273042772,0.9442621370489019,9.85043177007035,0.152543575880483,0.35281838939680127
33765,249.12643450621783,0.015949831460903487,0.9,0.9,0.8299885613740585,0.9865827721039857,0.0,10.0,0.0,0.2
92975,199.55341846037544,0.8054133380067068,0.13116204117197577,0.023513837639783784,0.9,6.0791895887121195,5.2688027481505255,0.08618171026196943,0.0,0.2
97543,255.4609804614299,1.491461231006567,0.2349092336535615,0.9,0.18229699671842098,20.0,14.784053580232518,0.0,0.004243927774447692,0.42459930136483043
63520,257.9875263675923,2.4021540418530805,0.3159437920805405,0.01564763110656928,0.9,2.6004188980629164,0.0,0.0,0.043303050982594495,0.2543143929085059
99845,217.33998224506257,1.008163005577723,0.2481926483278605,0.02394370503690724,0.9,4.456245094078644,4.4060971693257995,0.09028161343597323,0.0,0.2483967097390435
57653,135.17643122611724,0.3407549972482029,0.17278260698106782,0.5040531231525887,0.6830196930830638,20.0,7.2039674347554,0.4223431606236212,0.003723261718194315,0.29606649739113555
35102,189.44163085215484,0.013634271749317414,0.0,0.8453751494335604,0.00903899000427995,19.674290691242774,14.74302256275923,5.646101429139155,0.004341200166226686,0.3119262734301756
23849,111.80637384309648,1.6774538870107063,0.0,0.0,0.1389571976738343,0.20381557614071116,0.1461713357799258,9.798961184754324,1.3102515062463325,0.21039205331650193
88310,216.65537688906647,0.10830280540179309,0.3948866300446818,0.9,0.7418623763963523,20.0,16.495326791739327,0.06565141842515883,0.007586241627639605,0.21841496005112251
10951,150.8857215075522,3.9999981952947175,0.4491196734423695,0.9,0.0009251499019156505,0.4716899012030606,0.5212460672465923,2.226550775292034,1.1931766755565347,0.2405247948419045
