ParticipantID,NLL,Fitted_lr,Fitted_vunsamp,Fitted_vsamp,Fitted_lam,Fitted_kappa_a,Fitted_prior_r,Fitted_a_bs,Fitted_ndt,Fitted_v_max_stage_0,Fitted_v_max_stage_1,Fitted_v_mod
46080,0.6037374440462462,0.23174258298517145,0.4154757325828115,0.30373012562692825,10.0,0.706462796851184,0.2,0.8827050157735871,0.4055017147964836,9.999877389720622,4.142167116558821,0.0745012499825189
53366,0.46708243591981957,0.20782204459910233,0.7661920864985099,0.9,10.0,0.3112139497081425,0.2,0.9103351275195313,0.37856135636505217,2.230957374401241,1.8839175494662608,1.0
3187,0.25660977424936515,4.0,0.6108221214039589,0.8672855835872588,9.155104276679312,1.2532310220990477,0.31500259090145777,0.8549833252294504,0.28537053872058277,2.349753134025363,1.2780569206531356,1.0
68012,0.7304880164671584,0.14034186017015363,0.5480455232559801,0.9,10.0,0.09136483182814971,0.21410066856303842,0.9761327618544338,0.17443642021456823,1.9354839214502602,1.603084234824286,1.0
9695,0.5492014817304691,0.07020672831256801,0.41444897107378,0.9,10.0,0.08291959300234872,0.24265374171994486,0.8920016071930196,0.2996274751848263,4.621885812471626,2.406910343304468,1.0
61120,0.7186226321480499,0.08227852877793314,0.4836986753142311,0.9,10.0,0.028617834910592912,0.30070650768327584,0.9570699537018656,0.31930259660715754,4.86599130174705,2.3385476197696717,1.0
4862,0.5145981103948452,0.20600597980968735,0.5735535372116815,0.9,10.0,0.6373505233573787,0.3186327192480362,0.7942678349259442,0.34443298374093523,1.6092454998509282,1.857466728713242,1.0
55027,0.13458246754511002,0.39572919528737227,0.2798378181138003,0.7232267966599786,2.2883200263120376,0.2244557254540594,0.2,0.8004773361811062,0.34958764416744764,4.929756486806535,2.521456745535292,0.9946570150920022
99461,0.3029057858721342,0.1509821093566555,0.45501176430897033,0.9,10.0,0.06332689475595867,0.3255779933943826,0.7786355692866487,0.32029150982162213,5.203540253076821,1.8661680766806452,1.0
16691,0.7368475144288473,0.0221885557331613,0.16571106071362027,0.4419686552915684,10.0,0.011005580525098847,0.4849674605852552,0.7948523356396131,0.24866045196701617,10.0,6.916279651040744,1.0
75759,-0.045276577198584717,0.33193700050103064,0.5294248104047046,0.9,10.0,1.4336835805858217,0.3277011847722368,0.9808871349031193,0.23099061970822235,3.144783381229336,2.1282374137230455,1.0
4936,1.110578465151747,1.0746482153698604,0.8409643035987918,0.8724850623425738,10.0,0.45665132017701787,0.2,0.919695766740642,0.06000801845339047,8.93322824603622,6.101263328222026,0.020332009026377558
17946,0.4842029312415566,0.09526038873736549,0.38002727024861566,0.9,10.0,0.05658645842656553,0.2650314027407554,0.8395153399582209,0.4378603609861426,3.610961930247409,2.517996054168079,1.0
33765,0.3197161184814504,0.025622142091787384,0.9,0.9,10.0,0.0,0.2,0.6001716318368961,0.31736484542222065,10.0,0.0,1.0
92975,0.579482234343705,4.0,0.06083287690017203,0.7166761512418628,1.9804276588728786,0.0,0.8,0.7340349685549731,0.23640848510017545,1.7994313482719508,1.2295906482157075,1.0
97543,0.6528905828372368,2.7608447818592494,0.14170593181065966,0.9,0.0,0.017985700986478094,0.34848450273041287,0.6868113490632878,0.2611696639583176,10.0,4.00055598537175,1.0
63520,1.1286146991552704,0.6097549430330123,0.0,0.0,10.0,3.2382405041177496,0.3938901501402806,0.9178308915330747,0.1905440958418191,0.0,0.5429591395296799,1.0
99845,0.7093663042138164,4.0,0.2665611959333072,0.8536206790527856,0.3888442195139071,0.0,0.2,0.7748577378237721,0.2960305662973302,1.289359738647351,1.663335802853462,1.0
57653,0.206925741619451,0.3325780101534321,0.2524031374071624,0.860768625933108,10.0,0.0,0.2,0.7653314803330775,0.351994547343386,3.133499978808741,1.4767433001256776,1.0
35102,0.8168610478496937,0.10833207528498671,0.0,0.9,10.0,0.0,0.22172637802768005,0.9440804176810762,0.2181589868296334,1.8205716270644212,1.4256226799917027,1.0
23849,0.47718567429767766,4.0,0.0,0.09228657812812337,10.0,1.7832587163922007,0.2,1.0678156321620245,0.19895650057373807,1.6143579078726187,1.7138358575784935,0.17885098152849213
88310,0.6999808855159306,0.12772016526330054,0.42738321392166156,0.9,2.06643770991571,0.02301142738400354,0.4890567932183842,0.7978068553621765,0.28542696723681127,9.472300796512407,7.718193278332156,1.0
10951,0.09407923754467173,4.0,0.4748432533428892,0.9,1.014470832774462,0.7481589667648302,0.2,0.7137875539050949,0.30743901178925476,3.0789433977579224,1.5468167332606404,1.0
